GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minimall,com.minimall.controller,OrderController.CreateOrderRequest,3,0,0,0,1,0,1,0,1,0
minimall,com.minimall.controller,PaymentController,63,0,0,0,16,0,4,0,4,0
minimall,com.minimall.controller,StatsController,17,0,0,0,5,0,3,0,3,0
minimall,com.minimall.controller,AuthController.LoginResponse,9,0,0,0,1,0,1,0,1,0
minimall,com.minimall.controller,ShareController,38,0,0,0,7,0,4,0,4,0
minimall,com.minimall.controller,AdminAuthController.LoginResponse,15,0,0,0,1,0,1,0,1,0
minimall,com.minimall.controller,UserController,51,0,4,0,11,0,6,0,4,0
minimall,com.minimall.controller,AuthController.LoginRequest,6,0,0,0,1,0,1,0,1,0
minimall,com.minimall.controller,AuthController,97,0,10,0,21,0,8,0,3,0
minimall,com.minimall.controller,OrderController,139,0,12,0,26,0,13,0,7,0
minimall,com.minimall.controller,HealthController,21,0,0,0,5,0,2,0,2,0
